Date/Time, 2020-07-16_15:29
10,15.58
30,27.57
20,15.00
50,38.14
30,24.54
40,24.16
10,16.42
40,25.94
50,29.15
20,21.83
10,12.36
30,13.27
20,12.05
10,13.07
40,20.80
50,32.32
50,28.88
40,20.32
30,21.64
20,15.29
10,13.01
20,16.75
50,33.69
30,24.69
40,26.32
40,21.07
20,13.31
10,10.15
30,23.69
50,24.45
20,21.45
10,14.61
30,26.37
50,29.55
40,22.57
50,28.76
10,15.61
20,13.92
30,23.88
40,29.86
10,18.84
20,22.36
40,31.50
30,27.76
50,31.30
30,26.50
10,16.04
10,6.45
20,16.70
50,34.62
40,30.15
40,20.79
20,16.87
30,24.71
20,12.31
50,28.92
10,8.45
30,22.43
50,33.74
30,19.79
40,25.16
20,19.48
10,5.55
50,42.01
40,20.10
10,12.51
30,30.52
20,16.59
10,15.56
40,29.26
50,37.26
20,24.08
30,22.67
50,33.49
40,33.23
10,19.13
30,27.38
10,11.10
20,27.05
20,23.54
40,28.17
50,31.00
40,36.00
30,29.02
30,19.62
50,38.35
10,13.35
20,20.91
10,18.59
40,20.35
20,21.23
50,30.05
30,14.01
50,43.43
40,31.80
10,13.82
30,17.23
20,14.90
40,29.06
30,33.54
50,29.58
10,9.09
20,25.71
10,14.84
40,32.41
20,22.75
50,23.52
30,27.51
40,32.67
20,18.90
30,26.05
10,17.44
50,31.34
40,30.26
20,26.36
10,20.23
50,32.49
40,35.84
40,25.64
30,23.96
10,16.35
50,43.51
30,26.52
30,22.63
20,17.63
50,29.49
10,15.70
20,12.61
50,37.50
40,24.26
20,19.91
10,8.75
30,24.95
20,13.85
30,21.05
50,31.96
10,15.87
40,25.31
10,9.75
40,33.64
40,23.99
50,38.42
20,24.07
50,35.43
30,30.38
20,9.89
10,14.31
30,27.62
10,14.57
40,37.72
30,27.53
50,33.91
20,21.99
40,25.71
10,14.07
30,24.07
50,28.55
20,18.98
40,22.84
50,34.97
10,12.85
30,19.64
20,16.10
50,31.08
40,25.19
20,17.53
10,10.26
30,22.93
30,24.43
10,15.73
40,32.22
50,33.65
50,30.44
20,18.28
10,10.36
40,26.41
30,25.71
20,17.04
50,26.50
40,27.63
30,23.66
10,16.70
10,17.57
20,17.16
40,22.22
50,23.62
20,17.66
40,23.44
30,16.73
50,23.69
20,14.22
10,9.91
30,16.69
50,35.81
10,13.75
40,25.92
20,14.28
40,29.82
50,36.68
30,26.30
20,20.00
10,13.66
30,21.22
10,10.04
50,31.90
40,23.31
20,19.34
50,37.10
30,25.08
30,20.62
40,27.64
10,13.91
20,18.10
10,18.84
40,26.47
50,31.00
20,20.44
40,26.36
20,22.58
30,27.81
50,31.61
10,16.92
30,25.00
40,32.09
10,13.86
50,30.45
50,29.26
30,27.27
40,31.66
30,24.97
20,18.33
20,9.72
10,17.56
40,27.26
50,29.14
10,13.29
30,19.49
20,9.41
50,34.49
40,22.03
10,14.15
10,12.63
30,26.07
30,26.11
50,39.71
40,24.79
20,14.34
20,21.74
40,39.70
50,37.80
20,17.05
50,35.87
10,15.97
20,15.56
40,32.40
10,9.30
30,28.65
40,34.24
30,42.26
40,30.62
50,37.52
50,40.40
10,20.51
20,23.99
10,19.67
30,36.26
20,20.02
30,25.85
40,29.87
10,21.14
50,41.13
20,24.42
30,37.02
40,36.85
50,48.73
10,17.04
40,23.57
30,28.57
20,27.54
10,21.39
30,24.25
50,36.11
20,28.12
40,43.55
10,15.93
40,28.66
50,44.22
20,32.72
10,21.91
30,25.31
50,30.40
20,17.94
30,33.31
40,24.33
50,41.48
30,17.33
40,27.82
10,20.20
10,24.36
20,20.44
50,27.20
20,25.58
50,20.72
30,14.54
40,37.47
10,12.47
20,21.99
40,22.87
30,33.69
50,34.71
10,11.38
50,22.18
30,26.98
20,23.25
40,31.96
20,21.28
10,17.21
40,21.48
30,23.95
50,22.79
10,21.32
20,23.30
50,34.10
20,15.29
30,24.43
40,36.07
10,14.20
30,26.09
40,34.66
50,35.65
10,16.28
40,38.04
10,17.85
20,22.72
20,16.53
30,32.01
50,34.14
50,41.27
30,24.43
40,37.27
40,30.52
20,16.98
10,17.14
30,21.17
20,26.09
50,39.54
10,19.80
30,25.43
50,27.89
20,19.68
40,37.80
10,12.76
10,11.48
30,19.26
40,28.84
50,30.62
30,24.19
20,13.79
40,39.49
50,23.77
10,13.92
20,22.37
30,23.53
40,26.75
20,20.50
10,12.06
50,32.48
30,17.52
50,37.04
40,23.61
30,35.51
20,30.05
10,11.11
40,25.07
50,31.66
40,31.97
10,9.02
30,25.11
50,31.82
20,30.98
10,22.85
30,19.31
20,28.57
40,36.74
20,21.16
40,27.83
10,16.45
50,48.08
50,34.53
30,27.44
10,14.68
20,21.14
30,25.78
40,30.93
10,22.07
40,20.25
30,31.31
50,40.51
20,18.38
50,33.43
30,22.75
10,10.62
40,27.23
20,32.74
30,32.17
50,38.08
50,36.89
20,14.17
10,12.20
40,30.27
10,11.88
20,17.31
30,21.48
50,41.11
40,31.46
20,26.61
10,19.64
40,37.79
30,30.25
50,35.39
40,23.57
30,22.46
10,7.93
10,9.45
50,30.39
20,23.03
20,20.61
30,16.72
50,32.25
40,27.63
10,9.27
30,22.18
10,15.96
50,29.00
20,14.12
40,25.18
20,24.23
50,23.16
30,14.55
40,23.66
10,12.44
30,14.00
10,8.86
40,22.64
20,14.61
50,30.52
30,23.45
20,10.58
30,33.82
20,12.53
40,25.42
50,40.96
10,11.13
50,31.04
40,28.41
20,12.57
10,13.79
30,19.16
50,38.16
40,24.39
20,19.20
10,12.07
40,20.17
30,25.41
20,16.82
50,32.17
10,12.89
50,27.06
30,24.81
40,25.05
40,14.29
50,36.66
10,13.80
10,11.94
20,20.27
30,13.13
30,14.33
20,24.63
40,25.24
10,6.34
50,36.64
50,25.72
30,14.80
20,9.01
40,29.58
10,6.18
30,13.57
10,6.51
20,12.41
40,28.66
50,42.58
30,29.82
50,36.31
20,20.29
20,13.84
10,17.35
40,31.71
40,40.14
30,21.59
50,28.05
